ID,Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,MTUHA,CTC_ID,msd_id,PostalAddress,OfficialEmail,Website
15077,121333-9,A TO Z,,,A TO Z STAFF DISPENDSARY,Arusha Region,Arusha District,Arusha CC,Olmoti,Ngaramtoni ya Chini,Dispensary,Operating,Company/Business Name Private A TO Z TEXTILE MILLS LIMITED,6/16/22,784755558,,,,P.O.BOX 945,atozmgt@gmail.com,www.azpfl.com
1538,111552-6,AFYA MAX,-3.365947,36.675616,Afyamax Clinics,Arusha Region,Arusha District,Arusha CC,Ngarenaro,Kambi ya Fisi,PolyClinic,Operating,Company/Business Name Private AFYAMAX LIFE CARE LTD,10/10/16,757888871,,,,745 ARUSHA,infoafyamax@gmail.com,
13446,120915-4,AFYA MAX,,,SUNGURA,Arusha Region,Arusha District,Arusha CC,Ngarenaro,Kambi ya Fisi,Diagnostic Centre,Operating,For Profit Private Dr. RICHARD E SUNGURA,5/19/18,0784 262 954,,,,,infoafyamax@gmail.com,
1559,108577-8,AGA KHAN,-3.37077,36.68944,AGA KHAN POLYCLINIC ARUSHA,Arusha Region,Arusha District,Arusha CC,Kati,Pangani,PolyClinic,Operating,Faith Based Organization (FBO) Private Aga Khan Health Service Tanzania,7/1/13,255757231230,,,,2546,arusha.clinic@aku.edu,
1608,111982-5,AGAPE,-3.396758,36.658008,,Arusha Region,Arusha District,Arusha CC,Sombetini,Kirika B,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
1637,109601-5,AICC,-3.37481,36.69946,,Arusha Region,Arusha District,Arusha CC,Sekei,Mahakama,Hospital at District Level,Operating,Parastatal Public,6/9/97,,,02-03-0500,,P.O.Box 3081Arusha,,
1789,111966-8,AMANI,-3.368256,36.68539,AMANI GF HEALTH LABORATORY,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Magharibi,Level IA2 (Dispensary Laboratory),Operating,For Profit Private GEORGE MREMA,6/3/22,255766652,,,,P.O.BOX12052=,mremageorge@yahoo.com,
2015,111993-2,ARUSHA CENTRE,,,,Arusha Region,Arusha District,Arusha CC,,,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
2017,112384-3,ARUSHA CITY,-3.430205,36.704682,Arusha City Hospital,Arusha Region,Arusha District,Arusha CC,Engutoto,Block F,District Hospital,Operating,LGA Public Arusha CC,1/1/70,,,,,3013 Arusha,,
2018,100187-4,ARUSHA HEALTH CENTRE FOR WOMEN,-3.36106,36.68535,Kwa Dr Wanjara,Arusha Region,Arusha District,Arusha CC,Kaloleni,Mita mia mbili,Health Center,Operating,For Profit Private,1/1/70,,,02-03-0116,,P.O.Box 1567Arusha,,
3663,101355-6,ARUSHA HERI,-3.38638,36.68523,Heaven,Arusha Region,Arusha District,Arusha CC,Unga Ltd,Viwandani,Dispensary,Operating,For Profit Private Faith Health Mission Foundation,9/6/97,,,02-03-0122,,,,
2020,111965-0,ARUSHA JUNIOR,-3.368606,36.681106,,Arusha Region,Arusha District,Arusha CC,Levolosi,Levolos,Dispensary,Operating,For Profit Private DR. WILSON J. MKOMA,3/25/19,,,,,,,
2023,100188-2,ARUSHA LUTHERAN MEDICAL CENTRE CENTER,-3.36626,36.6823,ALMC,Arusha Region,Arusha District,Arusha CC,Levolosi,Levolos,Hospital at Regional Level,Operating,Faith Based Organization (FBO) Private Lutheran Church in North Central Diocese,1/10/08,255272548030,,02-03-0200,,17047 Arusha,info@almc.or.tz,www.almc.or.tz
2035,100190-8,ARUSHA SCHOOL,-3.3742,36.69426,,Arusha Region,Arusha District,Arusha CC,Themi,Old Police line,Dispensary,Operating,LGA Public,1/7/34,,,,,,,
18364,121377-6,ARUSHA SDA,,,NJIRO SDA,Arusha Region,Arusha District,Arusha CC,Engutoto,Block C 1,Basic Dental Clinic,Operating,Faith Based Organization (FBO) Private SEVENTH DAY ADVENTIST CHURCH,3/9/20,755747944,,,,"1121, Arusha",arushasda2021@gmail.com,
2036,100192-4,ARUSHA X-RAY CENTRE,-3.36579,36.699,,Arusha Region,Arusha District,Arusha CC,Sekei,AICC,Dispensary,Operating,For Profit Private Dr John J. Lymo,9/6/97,,,,,,,
2068,110873-7,AVETI,-3.36314,36.69035,Aveti,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Mashariki,Specialised Clinic,Operating,For Profit Private Dr. Avelini Tarafu James Matasha,1/1/70,,,,,P.O.Box 119 Arusha,,
18363,121376-8,AVINTA CARE,,,AVINTA,Arusha Region,Arusha District,Arusha CC,Themi,Corridor,Specialized Polyclinic,Operating,Company/Business Name Private KILIMANJARO FERTILITY INSTITUTE,1/4/18,789357077,,,,"2410, Arusha",avintacare@gmail.com,
2073,113552-4,AVINTA CARE,-3.376225,36.702409,,Arusha Region,Arusha District,Arusha CC,Sekei,Mahakama,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,4/1/18,,,,,,,
498,120339-7,AVINTACARE MEDICAL CENTRE,-3.375,36.7025,AVINTACARE,Arusha Region,Arusha District,Arusha CC,Sekei,Mahakama,Health Center,Operating,For Profit Private KILIMANJARO FERTILITY INSTITUTE LTD,4/8/21,255713596346,,,,2410,avintacare@gmail.com,www.avintacare.com
2250,112918-8,BANK OF TANZANIA,-3.369513,36.693254,,Arusha Region,Arusha District,Arusha CC,Sekei,Goliondoi,Medical Clinic,Operating,For Profit Private,9/10/18,762093827,,,,Box 3043,,
2268,113551-6,BARAA,-3.372567,36.737808,,Arusha Region,Arusha District,Arusha CC,Baraa,Kwa Mrefu,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
2269,100320-1,BARAA RC,-3.388826,36.736712,,Arusha Region,Arusha District,Arusha CC,Baraa,Sorenyi,Dispensary,Operating,Faith Based Organization (FBO) Private ROMAN CATHOLIC DIOCESE OF ARUSHA,9/6/97,787740764,,02-03-0107,,P.O.Box 1245 Arusha,,
2276,114498-9,BARAKA,,,Baraka,Arusha Region,Arusha District,Arusha CC,Sokon I,Longidong,Dispensary,Operating,For Profit Private Dr. Zebedayo Kitundu Gunda,7/17/19,,,,,P.O.Box 10950 Arusha,,
2321,111959-3,BATURI,-3.385786,36.709664,,Arusha Region,Arusha District,Arusha CC,Oloirien,Moivoi,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
16933,121092-1,BEKESA,,,MARYLAND,Arusha Region,Arusha District,Arusha CC,Sombetini,Kirika B,PolyClinic,Operating,For Profit Private DR. MARYAM MOHAMED MURTADHA,4/20/21,754486445,,,,P.O BOX 1068,bekesapolyclinic@gmail.com,
2378,113627-4,BETHELI,-3.386244,36.726143,,Arusha Region,Arusha District,Arusha CC,Oloirien,Suye,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
2404,100364-9,BIKIRA MARIA MAMA WA HURUMA,-3.3657,36.6876,Bikira Maria,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Mashariki,Health Center,Operating,Faith Based Organization (FBO) Private,1/4/05,,,,,,,
3447,100675-8,CANOSSA,-3.458022,36.71262,Canosa,Arusha Region,Arusha District,Arusha CC,Engutoto,Block J,Dispensary,Operating,Faith Based Organization (FBO) Private,1/1/70,,,,,,,
2101,111963-5,CHARITY MODERN,-3.381557,36.661161,CHARITY MODERN LABORATORY,Arusha Region,Arusha District,Arusha CC,Olasiti,Olasiti centre,Specimen Collection Point,Operating,Company/Business Name Private FREDRICK EXAUD KIULA,3/25/12,0784-728311,,,,P.O.BOX 2153,,www.charitylab.com
2524,111964-3,CITY CENTRE,-3.367869,36.684995,,Arusha Region,Arusha District,Arusha CC,Kati,Bondeni,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
10826,110831-5,COGI AMAN OLASITI,-3.41753,36.65603,Olasiti Amani Cogi Dispensary,Arusha Region,Arusha District,Arusha CC,Olasiti,Olkeriani,Dispensary,Operating,Faith Based Organization (FBO) Private CHURCH OF THE GOSPEL INTERNATIONAL,10/13/10,65368734,,,,P.O.Box10782 Arusha,,
2547,100909-1,COGI DARAJA II,-3.387378,36.690832,,Arusha Region,Arusha District,Arusha CC,Daraja 2,Ndarvoi,Dispensary,Operating,Faith Based Organization (FBO) Private CHURCH OF GOSPEL INTERNATIONAL,9/6/97,,,,,,,
2615,111958-5,CURARE,-3.370335,36.687354,,Arusha Region,Arusha District,Arusha CC,Kati,Bondeni,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
