ID,Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,MTUHA,CTC_ID,msd_id,PostalAddress,OfficialEmail,Website
1839,107732-0,AMSTERDAM,-5.088497,39.110085,Tamta Makorora,Tanga Region,Tanga District,Tanga CC,Makorora,Makorora kati,Dispensary,Operating,For Profit Private AMSTERDAM MARKETING CO.LTD,,713838657,,,,P.o.Box.6070,,
1885,113222-4,APAN,-5.071397,39.093468,,Tanga Region,Tanga District,Tanga CC,Chumbageni,,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
2192,100280-7,BAKWATA,-5.07968,39.10202,Bakwata,Tanga Region,Tanga District,Tanga CC,Central,Sakarani,Dispensary,Operating,Faith Based Organization (FBO) Private BAKWATA Charitable Organization,4/14/99,,,,,5703,,
2226,100304-5,BANDARI,-5.07008,39.10501,Bandari,Tanga Region,Tanga District,Tanga CC,Central,Central,Dispensary,Operating,Parastatal Public,,653080708,,,,5344,,
2125,100220-3,BAGA,-4.7721,38.42585,Baga,Tanga Region,Lushoto District,Bumbuli DC,Baga,Baga,Dispensary,Operating,LGA Public DED BUMBULI,1/7/70,,,,520019,Box 120 Bumbuli,seni@gmail.com,
3024,109848-2,BUMBA,-4.73123,38.63456,Bumba,Tanga Region,Lushoto District,Bumbuli DC,Mlingano,Bumba,Dispensary,Operating,LGA Public DED BUMBULI,6/15/10,,,,520302,Box 120 Bumbuli,wanchara@gmail.com,
12183,100556-0,BUMBULI MISSION,-4.863753,38.47069,Bumbuli,Tanga Region,Lushoto District,Bumbuli DC,Bumbuli,Bumbuli Kaya,Hospital at District Level,Operating,Faith Based Organization (FBO) Private Lutheran,4/6/27,738867925,,04-01-0200,610004,Box 111 Bumbuli,bumbuli@ned-elect.org,
2902,112490-8,EBENEZER,-4.84187,38.370698,Ebenezer,Tanga Region,Lushoto District,Bumbuli DC,Soni,Soni,Dispensary,Operating,For Profit Private,,,,,,80 BUMBULI,,
3295,101162-6,FUNTA,-4.90501,38.45896,Funta,Tanga Region,Lushoto District,Bumbuli DC,Funta,Funta,Dispensary,Operating,LGA Public,2/11/95,,,,,Box 120 Bumbuli,,
7958,111005-5,KIVILICHA,-4.57232,38.21447,Kivilicha,Tanga Region,Lushoto District,Bumbuli DC,Usambara,Kivilicha,Dispensary,Operating,LGA Public DED BUMBULI,1/10/14,,,04-01-0337,520006,Box 120 Bumbuli,kivilicha@gmail.com,
